Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
StereoModeStereo,Stereo mode label,ステレオ,Stereo,立体声,立體聲,스테레오,Estéreo,ستيريو,Stereo,
StereoModeLeft,Left channel mode label,L (左),L (Left),L（左）,L（左）,L (왼쪽),L (Izquierda),L (يسار),L (Kiri),
StereoModeRight,Right channel mode label,R (右),R (Right),R（右）,R（右）,R (오른쪽),R (Derecha),R (يمين),R (Kanan),
FilterTypePeak,Peak filter type label,ピーク,Peak,峰值,峰值,피크,Pico,قمة,Peak,
FilterTypeLowShelf,Low shelf filter type label,ローシェルフ,Low Shelf,低架,低架,로우 셸프,Estante bajo,رف منخفض,Low Shelf,
FilterTypeHighShelf,High shelf filter type label,ハイシェルフ,High Shelf,高架,高架,하이 셸프,Estante alto,رف مرتفع,High Shelf,
BandEnabled,Enabled label,有効,Enabled,启用,啟用,사용,Habilitado,مُمكّن,Aktif,
BandType,Filter type label,種類,Type,类型,類型,종류,Tipo,النوع,Tipe,
BandChannel,Channel label,チャンネル,Channel,通道,通道,채널,Canal,القناة,Saluran,
BandSettingsGroup,Band settings group label,設定,Settings,设置,設定,설정,Ajustes,الإعدادات,Pengaturan,
BandFrequency,Frequency label,周波数,Frequency,频率,頻率,주파수,Frecuencia,التردد,Frekuensi,
BandGain,Gain label,ゲイン,Gain,增益,增益,게인,Ganancia,الكسب,Gain,
BandQ,Q factor label,Q,Q,Q,Q,Q,Q,Q,Q,
BandDefaultName,Default band base name,バンド,Band,频段,頻段,밴드,Banda,نطاق,Band,
BandNameWithNumber,Band name format string with number placeholder,バンド {0},Band {0},频段 {0},頻段 {0},밴드 {0},Banda {0},النطاق {0},Band {0},
EqualizerDisplayName,Equalizer display name,イコライザー,Equalizer,均衡器,等化器,이퀄라이저,Ecualizador,المُعادِل,Equalizer,
EqualizerSettingsName,Settings name for equalizer,GUIイコライザー設定,GUI Equalizer Settings,GUI均衡器设置,GUI等化器設定,GUI 이퀄라이저 설정,Configuración del ecualizador GUI,إعدادات معادل الصوت GUI,Pengaturan Equalizer GUI,
TooltipFrequencyPrefix,Frequency tooltip prefix,周波数: ,Frequency: ,频率：,頻率：,주파수: ,Frecuencia: ,التردد: ,Frekuensi: ,
TooltipGainPrefix,Gain tooltip prefix,  ゲイン: ,  Gain: ,  增益：,  增益：,  게인: ,  Ganancia: ,  الكسب: ,  Gain: ,
ContextFilterType,Filter type context menu header,フィルタの種類,Filter Type,滤波器类型,濾波器類型,필터 종류,Tipo de filtro,نوع المرشح,Tipe Filter,
ContextStereoMode,Stereo mode context menu header,ステレオモード,Stereo Mode,立体声模式,立體聲模式,스테레오 모드,Modo estéreo,وضع الستيريو,Mode Stereo,
Delete,Delete action label,削除,Delete,删除,刪除,삭제,Eliminar,حذف,Hapus,
SelectPresetPlaceholder,Preset selection placeholder,プリセットを選択...,Select preset...,选择预设...,選擇預設...,프리셋 선택...,Seleccionar preset...,اختر إعدادًا مسبقًا...,Pilih preset...,
PresetSelectorTooltip,Preset selector tooltip,保存されたプリセットを選択または管理します。,Select or manage saved presets.,选择或管理已保存的预设。,選擇或管理已儲存的預設。,저장된 프리셋을 선택하거나 관리합니다.,Seleccione o administre presets guardados.,حدد الإعدادات المسبقة المحفوظة أو أدِرها.,Pilih atau kelola preset tersimpan.,
Save,Save action label,保存,Save,保存,儲存,저장,Guardar,حفظ,Simpan,
SaveCurrentAsPresetTooltip,Save current settings tooltip,現在の設定をプリセットとして保存します。,Save current settings as a preset.,将当前设置保存为预设。,將目前設定儲存為預設。,현재 설정을 프리셋으로 저장합니다.,Guardar la configuración actual como preset.,احفظ الإعدادات الحالية كإعداد مسبق.,Simpan pengaturan saat ini sebagai preset.,
ZoomYAxisTooltip,Zoom slider tooltip for gain axis,縦軸（ゲイン）の表示範囲を調整します。,Adjust the display range of the vertical axis (gain).,调整纵轴（增益）的显示范围。,調整縱軸（增益）的顯示範圍。,세로축(게인) 표시 범위를 조정합니다.,Ajusta el rango de visualización del eje vertical (ganancia).,اضبط نطاق عرض المحور الرأسي (الكسب).,Sesuaikan rentang tampilan sumbu vertikal (gain).,
Settings,Settings label,設定,Settings,设置,設定,설정,Configuración,الإعدادات,Pengaturan,
AddGroup,Add group action,グループを追加,Add group,添加组,新增群組,그룹 추가,Agregar grupo,إضافة مجموعة,Tambah grup,
DeleteSelectedGroup,Delete selected group action,選択したグループを削除,Delete selected group,删除所选组,刪除所選群組,선택한 그룹 삭제,Eliminar grupo seleccionado,حذف المجموعة المحددة,Hapus grup terpilih,
OpenSettings,Open settings action,設定を開く,Open settings,打开设置,開啟設定,설정 열기,Abrir configuración,فتح الإعدادات,Buka pengaturan,
SaveCurrentAsPreset,Save current settings as preset action,現在の設定をプリセットとして保存,Save current settings as preset,将当前设置保存为预设,將目前設定儲存為預設,현재 설정을 프리셋으로 저장,Guardar configuración actual como preset,حفظ الإعدادات الحالية كإعداد مسبق,Simpan pengaturan saat ini sebagai preset,
ApplyPreset,Apply preset action,プリセットを適用,Apply preset,应用预设,套用預設,프리셋 적용,Aplicar preset,تطبيق الإعداد المسبق,Terapkan preset,
Rename,Rename action label,名前の変更,Rename,重命名,重新命名,이름 변경,Cambiar nombre,إعادة تسمية,Ubah nama,
ChangeGroup,Change group action label,グループの変更,Change group,更改组,變更群組,그룹 변경,Cambiar grupo,تغيير المجموعة,Ubah grup,
ToggleFavorite,Toggle favorite action label,お気に入りに追加/削除,Add/Remove favorite,添加/移除收藏,加入/移除最愛,즐겨찾기 추가/제거,Agregar/Quitar favorito,إضافة/إزالة المفضلة,Tambah/Hapus favorit,
Export,Export action label,エクスポート,Export,导出,匯出,내보내기,Exportar,تصدير,Ekspor,
PointCanvasTooltip,Point canvas tooltip text,左クリック: ポイント追加 / ダブルクリック: 削除 / 右クリック: メニュー,Left click: Add point / Double click: Delete / Right click: Menu,左键：添加点 / 双击：删除 / 右键：菜单,左鍵：新增點 / 雙擊：刪除 / 右鍵：選單,왼쪽 클릭: 포인트 추가 / 더블 클릭: 삭제 / 오른쪽 클릭: 메뉴,Clic izquierdo: añadir punto / doble clic: eliminar / clic derecho: menú,نقرة يسار: إضافة نقطة / نقرة مزدوجة: حذف / نقرة يمين: قائمة,Klik kiri: tambah titik / klik ganda: hapus / klik kanan: menu,
AddPoint,Add point action,ポイントを追加,Add point,添加点,新增點,포인트 추가,Agregar punto,إضافة نقطة,Tambah titik,
DeletePoint,Delete point action,ポイントを削除,Delete point,删除点,刪除點,포인트 삭제,Eliminar punto,حذف نقطة,Hapus titik,
Cancel,Cancel action label,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batal,
GroupSelectionTitle,Group selection window title,グループ選択,Group Selection,组选择,群組選擇,그룹 선택,Selección de grupo,اختيار المجموعة,Pemilihan grup,
SelectPresetGroupPrompt,Prompt to select preset group,プリセットのグループを選択してください:,Please select a preset group:,请选择预设组：,請選擇預設群組：,프리셋 그룹을 선택하세요:,Seleccione un grupo de presets:,يرجى اختيار مجموعة إعدادات مسبقة:,Silakan pilih grup preset:,
EqualizerSettingsTitle,Equalizer settings window title,イコライザー設定,Equalizer Settings,均衡器设置,等化器設定,이퀄라이저 설정,Configuración del ecualizador,إعدادات المعادل,Pengaturan Equalizer,
BasicSettingsTab,Basic settings tab title,基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración básica,الإعدادات الأساسية,Pengaturan Dasar,
ProcessingAlgorithm,Processing algorithm label,処理アルゴリズム,Processing Algorithm,处理算法,處理演算法,처리 알고리즘,Algoritmo de procesamiento,خوارزمية المعالجة,Algoritma Pemrosesan,
EnableHighQualityMode,Enable high quality mode option,高音質モードを有効にする,Enable high quality mode,启用高音质模式,啟用高音質模式,고음질 모드 사용,Habilitar modo de alta calidad,تمكين وضع الجودة العالية,Aktifkan mode kualitas tinggi,
HighQualityTooltipLine1,High quality mode tooltip line 1,オーバーサンプリングを使用して、音声の品質を向上させます。,Uses oversampling to improve audio quality.,使用过采样来提高音频质量。,使用過取樣來提升音訊品質。,오버샘플링으로 오디오 품질을 향상합니다.,Usa sobremuestreo para mejorar la calidad de audio.,يستخدم زيادة أخذ العينات لتحسين جودة الصوت.,Menggunakan oversampling untuk meningkatkan kualitas audio.,
HighQualityTooltipLine2,High quality mode tooltip line 2,特に高周波数のフィルタリング精度が向上しますが、CPU負荷が増加します。,Improves high-frequency filtering accuracy but increases CPU load.,尤其可提高高频滤波精度，但会增加CPU负载。,特別提升高頻濾波精度，但會增加CPU負載。,고주파 필터링 정확도가 향상되지만 CPU 부하가 증가합니다.,Mejora la precisión del filtrado de alta frecuencia pero aumenta la carga de CPU.,يحسّن دقة ترشيح الترددات العالية لكنه يزيد حمل المعالج.,Meningkatkan akurasi penyaringan frekuensi tinggi tetapi menambah beban CPU.,
HighQualityCpuNote,High quality mode CPU note,（CPU負荷が増加します。）,(CPU load increases.),（CPU负载会增加。）,（CPU負載會增加。）,(CPU 부하가 증가합니다.),(La carga de CPU aumenta.),(يزداد حمل المعالج.),(Beban CPU meningkat.),
DefaultPreset,Default preset label,デフォルトプリセット,Default Preset,默认预设,預設預設,기본 프리셋,Preset predeterminado,الإعداد المسبق الافتراضي,Preset bawaan,
Clear,Clear action label,クリア,Clear,清除,清除,지우기,Limpiar,مسح,Bersihkan,
ClearDefaultPresetTooltip,Clear default preset tooltip,デフォルトプリセットの設定をクリアします,Clear the default preset setting,清除默认预设设置,清除預設預設設定,기본 프리셋 설정을 지웁니다.,Borrar la configuración del preset predeterminado,مسح إعدادات الإعداد المسبق الافتراضي,Hapus pengaturan preset bawaan,
DefaultPresetDescription,Description for default preset behavior,新しいイコライザーを追加した際に自動適用されるプリセットです。,Preset automatically applied when adding a new equalizer.,添加新均衡器时自动应用的预设。,新增等化器時自動套用的預設。,새 이퀄라이저 추가 시 자동 적용되는 프리셋입니다.,Preset que se aplica automáticamente al agregar un nuevo ecualizador.,إعداد مسبق يُطبّق تلقائيًا عند إضافة معادل جديد.,Preset yang diterapkan otomatis saat menambah equalizer baru.,
PresetManagementTab,Preset management tab title,プリセット管理,Preset Management,预设管理,預設管理,프리셋 관리,Gestión de presets,إدارة الإعدادات المسبقة,Manajemen Preset,
PresetGroup,Preset group label,プリセットグループ,Preset Group,预设组,預設群組,프리셋 그룹,Grupo de presets,مجموعة الإعدادات المسبقة,Grup Preset,
MoveUp,Move up action,上へ移動,Move up,上移,上移,위로 이동,Mover arriba,تحريك لأعلى,Pindah ke atas,
MoveDown,Move down action,下へ移動,Move down,下移,下移,아래로 이동,Mover abajo,تحريك لأسفل,Pindah ke bawah,
PresetList,Preset list label,プリセット一覧,Preset List,预设列表,預設清單,프리셋 목록,Lista de presets,قائمة الإعدادات المسبقة,Daftar Preset,
Import,Import action label,インポート,Import,导入,匯入,가져오기,Importar,استيراد,Impor,
ImportPresetTooltip,Import preset tooltip,プリセットファイルをインポートします,Import preset files,导入预设文件,匯入預設檔,프리셋 파일을 가져옵니다.,Importar archivos de preset,استيراد ملفات الإعدادات المسبقة,Impor file preset,
ExportSelectedPresetTooltip,Export selected preset tooltip,選択したプリセットをエクスポートします,Export selected preset,导出所选预设,匯出所選預設,선택한 프리셋을 내보냅니다.,Exportar preset seleccionado,تصدير الإعداد المسبق المحدد,Ekspor preset terpilih,
RenameShort,Rename button text,名前変更,Rename,重命名,重新命名,이름 변경,Cambiar nombre,إعادة تسمية,Ubah nama,
ChangeGroupShort,Change group button text,グループ変更,Change Group,更改组,變更群組,그룹 변경,Cambiar grupo,تغيير المجموعة,Ubah Grup,
AllGroup,All group label,すべて,All,全部,全部,전체,Todos,الكل,Semua,
FavoritesGroup,Favorites group label,お気に入り,Favorites,收藏,最愛,즐겨찾기,Favoritos,المفضلة,Favorit,
EnterPresetNamePrompt,Prompt to enter preset name,プリセット名を入力してください,Enter preset name,请输入预设名称,請輸入預設名稱,프리셋 이름을 입력하세요,Ingrese el nombre del preset,أدخل اسم الإعداد المسبق,Masukkan nama preset,
SavePresetTitle,Save preset dialog title,プリセットの保存,Save Preset,保存预设,儲存預設,프리셋 저장,Guardar preset,حفظ الإعداد المسبق,Simpan Preset,
EnterNewPresetNamePrompt,Prompt to enter new preset name,新しいプリセット名を入力してください,Enter new preset name,请输入新的预设名称,請輸入新的預設名稱,새 프리셋 이름을 입력하세요,Ingrese un nuevo nombre de preset,أدخل اسم إعداد مسبق جديد,Masukkan nama preset baru,
DeletePresetConfirm,Delete preset confirmation message,プリセット「{0}」を削除しますか？,"Delete preset ""{0}""?",删除预设“{0}”？,刪除預設「{0}」？,"프리셋 ""{0}""을(를) 삭제할까요?","¿Eliminar el preset ""{0}""?","هل تريد حذف الإعداد المسبق ""{0}""؟","Hapus preset ""{0}""?",
Confirmation,Confirmation dialog title,確認,Confirmation,确认,確認,확인,Confirmación,تأكيد,Konfirmasi,
ExportPresetTitle,Export preset dialog title,プリセットをエクスポート,Export Preset,导出预设,匯出預設,프리셋 내보내기,Exportar preset,تصدير الإعداد المسبق,Ekspor Preset,
EqpFileFilter,EQP file filter text,EQPファイル (*.eqp)|*.eqp,EQP files (*.eqp)|*.eqp,EQP文件 (*.eqp)|*.eqp,EQP檔案 (*.eqp)|*.eqp,EQP 파일 (*.eqp)|*.eqp,Archivos EQP (*.eqp)|*.eqp,ملفات EQP (*.eqp)|*.eqp,File EQP (*.eqp)|*.eqp,
EnterGroupNamePrompt,Prompt to enter group name,グループ名を入力してください,Enter group name,请输入组名,請輸入群組名稱,그룹 이름을 입력하세요,Ingrese el nombre del grupo,أدخل اسم المجموعة,Masukkan nama grup,
CannotDeleteGroup,Error when group cannot be deleted,このグループは削除できません。,This group cannot be deleted.,此组无法删除。,此群組無法刪除。,이 그룹은 삭제할 수 없습니다.,Este grupo no se puede eliminar.,لا يمكن حذف هذه المجموعة.,Grup ini tidak dapat dihapus.,
Error,Error dialog title,エラー,Error,错误,錯誤,오류,Error,خطأ,Error,
DeleteGroupConfirm,Delete group confirmation message,グループ「{0}」を削除しますか？,"Delete group ""{0}""?",删除组“{0}”？,刪除群組「{0}」？,"그룹 ""{0}""을(를) 삭제할까요?","¿Eliminar el grupo ""{0}""?","هل تريد حذف المجموعة ""{0}""؟","Hapus grup ""{0}""?",
MaxPointsReached,Message when max points are reached,これ以上ポイントを追加できません（最大32個）,Cannot add more points (max 32).,无法添加更多点（最多32个）。,無法再新增更多點（最多32個）。,더 이상 포인트를 추가할 수 없습니다(최대 32개).,No se pueden agregar más puntos (máximo 32).,لا يمكن إضافة المزيد من النقاط (الحد الأقصى 32).,Tidak dapat menambah titik lagi (maksimum 32).,
None,None option label,なし,None,无,無,없음,Ninguno,لا شيء,Tidak ada,
NewPresetName,New preset name label,新しいプリセット名,New preset name,新预设名称,新預設名稱,새 프리셋 이름,Nuevo nombre de preset,اسم إعداد مسبق جديد,Nama preset baru,
RenamePresetTitle,Rename preset dialog title,プリセット名の変更,Rename Preset,重命名预设,重新命名預設,프리셋 이름 변경,Cambiar nombre del preset,إعادة تسمية الإعداد المسبق,Ubah Nama Preset,
SelectPresetFileTitle,Select preset file dialog title,プリセットファイルを選択,Select preset file,选择预设文件,選擇預設檔案,프리셋 파일 선택,Seleccionar archivo de preset,اختر ملف الإعداد المسبق,Pilih file preset,
EqpFileFilterWithAll,EQP file filter with all files option,EQPファイル (*.eqp)|*.eqp|すべてのファイル (*.*)|*.*,EQP files (*.eqp)|*.eqp|All files (*.*)|*.*,EQP文件 (*.eqp)|*.eqp|所有文件 (*.*)|*.*,EQP檔案 (*.eqp)|*.eqp|所有檔案 (*.*)|*.*,EQP 파일 (*.eqp)|*.eqp|모든 파일 (*.*)|*.*,Archivos EQP (*.eqp)|*.eqp|Todos los archivos (*.*)|*.*,ملفات EQP (*.eqp)|*.eqp|كل الملفات (*.*)|*.*,File EQP (*.eqp)|*.eqp|Semua file (*.*)|*.*,
PresetLoadFailed,Preset load failed message prefix,プリセットの読み込みに失敗しました。,Failed to load preset.,加载预设失败。,載入預設失敗。,프리셋을 불러오지 못했습니다.,Error al cargar el preset.,فشل تحميل الإعداد المسبق.,Gagal memuat preset.,
InvalidPresetName,Invalid preset name message,無効なプリセット名です。,Invalid preset name.,无效的预设名称。,無效的預設名稱。,잘못된 프리셋 이름입니다.,Nombre de preset no válido.,اسم الإعداد المسبق غير صالح.,Nama preset tidak valid.,
PresetSaveFailed,Preset save failed message prefix,プリセットの保存に失敗しました。,Failed to save preset.,保存预设失败。,儲存預設失敗。,프리셋 저장에 실패했습니다.,Error al guardar el preset.,فشل حفظ الإعداد المسبق.,Gagal menyimpan preset.,
PresetNameAlreadyExists,Preset name already exists message,同じ名前のプリセットが既に存在します。,A preset with the same name already exists.,已存在同名预设。,已存在同名預設。,같은 이름의 프리셋이 이미 존재합니다.,Ya existe un preset con el mismo nombre.,يوجد إعداد مسبق بنفس الاسم بالفعل.,Preset dengan nama yang sama sudah ada.,
PresetExportFailed,Preset export failed message prefix,プリセットのエクスポートに失敗しました。,Failed to export preset.,导出预设失败。,匯出預設失敗。,프리셋 내보내기에 실패했습니다.,Error al exportar el preset.,فشل تصدير الإعداد المسبق.,Gagal mengekspor preset.,
DefaultGroupVocal,Default group name vocal,ボーカル,Vocal,人声,人聲,보컬,Vocal,غناء,Vokal,
DefaultGroupSfx,Default group name sound effects,効果音,Sound Effects,音效,音效,효과음,Efectos de sonido,مؤثرات صوتية,Efek suara,
DefaultGroupOther,Default group name other,その他,Other,其他,其他,기타,Otros,أخرى,Lainnya,
CategoryExtended,Extended category name,拡張,Extended,扩展,擴展,확장,Extendido,ممتد,Diperluas,